owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000049,Schweizer Tournee-Theater (später Scala Theater AG) (Eynar Grabowsky),Basel,Basel,BS,,,na,1965-?,"Schweizer Theater-Gastspiele, ab ca. 1985 unter neuem Namen: Scala Theater AG)",,,3 C,1965-(2000)
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000050,Social Muscle Club (SMC),Basel,Basel,BS,,,a,,,,,1 R,(2015)- 
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000051,Tanz>faktor (Tanzfaktor) (später: Tanzfaktor interregio),Basel,Basel (bis 2009 Basel: Tanzbüro Basel),BS,,,a,,"IG Tanz, Tanzbüro Basel",,,1 C und 1 C (separate Ablage zwei Couverts),1993-1995 / 1999-/2006) und 2000 / 2002 / 2006-(2007)
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000052,Vereinigung Basler Ballettfreunde,Basel,Basel,BS,,,na,?,,,,1 C,1970
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000053,Theater im Park (Verein),Münchenstein,Basel,BS,,,a,2014-,,,,1 C,2014-
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000054,upstart entertainment,Basel?,Basel,BS?,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000055,desto-besser (Kulturagentur am Brückenkopf),Bern,Bern,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000056,Guignolo Theaterproduktionen,Bern,Bern,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000057,Herz (Kulturprojekt),Bern,Bern,BE,,,na,1994,,,,1 C,1994
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000058,Hoireka,Bern,Bern,BE,,KTV,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000059,Jugendmusical (JUMU)(Schweizer Jugendmusical)(Verein stagefever),Bern,"CH: Grundsätzliches, Produktionen an verschiedenen Orten in der ganzen Schweiz",BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000060,"Kinderkulturkalender ""Leporello"" (leporello.ch Familien- und Kinderkultur)",Bern,Bern,BE,,,a,,,,,,
spa:DatenbankUrsProduzenten,STS-DatenbankUrsProduzenten00000061,L. Leuenberger Produktionen,Bern,"Bern (siehe auch unter: Leuenberger, Lukas)",BE,,,a,?,,,,1 S,"(1992), 1996, 2001-"
