owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000085,Figurentheater Maya Silfverberg,"Silfverberg, Maya",Ins,?,,,,,,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000086,Puppentheater Ins,"D’Arcangelo, Daniela",Ins,Ins,BE,,KTV Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000087,Puppentheater Bösiger/Frauchiger,"Bösiger, Mariann + Frauchiger, Kathrin",Ittigen,"Bösiger, Mariann",BE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000088,Kasper & Co. (Puppenbühne),"Leuenberger, Marlies + Fahrni, Mirjam",Kiesen,?,BE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000089,Figurentheater Tine Beutel,"Beutel, Tine",Kölliken,"Beutel, Tine",AG,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000090,Compagnie La Turlutaine (Atelier Théatre de Marionnettes),Freitag + de Torrenté + Babando,La Chaux-de-Fonds,La Chaux-de-Fonds,NE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000091,Croqu’Guignols,"de Torrenté, Catherine + Correa, Vérène ",La Chaux-de-Fonds,La Chaux-de-Fonds,NE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000092,La Poule qui Tousse,"Vogel, Polly",La Tour-de-Peilz,La Tour-de-Peilz,VD,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000093,Figuren- und Erzähltheater Birgit Gluth,"Gluth, Birgit",Laufen,"Gluth, Birgit",BL,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000094,Puppentheater Laufen,Büsser (Familie),Laufen,Laufen,BL,,-0,,na,,,,,1 R,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000095,Les Marionnettes Elzévir,?,Lausanne,Lausanne,VD,,,,na,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000096,Oniroscope (Compagnie de théâtre de marionnettes),"Bianchi, Dominique",Lausanne,Lausanne,VD,,,,a,,Papalagui & Cie.,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000097,Papalagui & Cie. (später: Oniroscope Compagnie de théâtre de marionnettes),"Bianchi, Dominique",Lausanne,Lausanne,VD,,,,na,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000098,Théâtre Globule Marionnettes,?,Lausanne,Lausanne,VD,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000099,Rose des Vents (Marionettenbühne),,Lausane,Lausane,VD,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000100,Théâtre des Lutins,"Plaar-Meurice, Marie-Jeanne",Lausanne,Lausanne,VD,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000101,Puppentheater Grafenstein,"Graf, Marlies + Steinmann, Ursula",Lenzburg,Lenzburg,AG,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000102,Fahrendi Bühni,"Gysin, Margrit + Huber, Michael",Liestal,"Gysin, Margrit",BL,,,,na,1976-1982,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000103,Figurentheater Margrit Gysin,"Gysin, Margrit",Liestal,"Gysin, Margrit",BL,,assitej Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000104,Figurentheater Michael Huber,"Huber, Michael",Liestal,"Huber, Michael",BL,,KTV Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000105,Figurentheater Seidelbast,"Rohrer, Anita",Basel,Basel,BS,,,,a,,,,,2 R,(1985)-(2000)
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000106,Tokkel-Bühne,"Bosshard-Zimmermann, Christof + Silvia",Liestal (früher Buus BL),Liestal <eigene Ablage>,BL,,assitej Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000107,Teatro dei Fauni,"Oberholzer, Santuzza",Locarno,Locarno,TI,,TASI         Unima      KTV,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000108,Lostorfer Kasperlitheater,"Häubi, Lisbeth",Lostorf,Lostorf,SO,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000109,Pao-Pao Figurentheater (Figurentheater Pao-Pao),"Aemmer, Margrit",Lostorf,Lostorf,SO,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000110,Teatro Antonin Artaud (TAA Musicateatro (Teatro Antonin Artaud Compagnia Michel Poletti),"Poletti, Michel + Poletti, Michèle u.a.","Cadenazzo (früher: Lugano, Ascona)",Ascona,TI,,TASI         Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000111,Figurentheater Petruschka,"Hofer, Marianne + Hofer, Robert + Hildebrand Isler, Nathalie",Luzern,Luzern,LU,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000112,Puppenbühne Colorello,"Unternährer, Annelis + Degonda, Daniela + Vogelbacher, Charles",Luzern,Luzern,LU,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000113,Puppenbühne Taubenhaus,-0,Luzern (Reussbühl),Luzern,LU,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000114,"zwergenHAFT, Masken- und Figurentheater","Boog, Patrick & Huber, Alexander",Luzern,Luzern,LU,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000115,Figurentheater Lirum-Larum,"Stürm-Frei, Anita",Männedorf,"Stürm-Frei, Anita",ZH,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000116,Théâtre Couleurs d’ombres,"Vachoud ,Christine",Mauborget,Mauborget,VD,,Unima     KTV,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000117,Puppenbühne Rägäbogä,"Stucky, Astrid + Forlin, Romy",Sargans und Mels,Mels,SG,,-0,,a ,(noch existent?),,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000118,Marionettenbühne Pulcinella,"Limacher, Theresa",Menziken,Menziken,AG,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000119,Figurentheater PhiloThea,"Langenegger, Nicole",Mogelsberg,Nassen,SG,,assitej    KTV Unima,,a,,Puppentheater Störgeli,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000120,Puppentheater Störgeli (später: PhiloThea),"Langenegger, Nicole + Zwahlen, Cello",Nassen,"Zwahlen, Cello",SG,,,,na,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000121,Figurentheater RUI,"Rui, Gerda",Mörigen,?,BE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000122,Baobab Théâtre (Association Baobab Théâtre),"Belleux, Cendrine + Skates, Christian",Morges,Morges,VS,,assitej      KTV,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000123,Chasperlibühni Thery,"Ryser, Theophil + Ryser, Nina + Ryser, Ilona + Ryser, Silva + Passuco, Michele",Münsingen,?,BE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000124,Figurentheater Gschichtechäschtli,"Beg-Schneider, Myriam",Muri AG,Muri AG,AG,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000125,Cello und sein Ensemble,?,Nassen,?,SG,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000126,Marionettenbühne Marlis,"Fuhrimann, Marlis u.a.",Oberburg,?,BE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000127,Les Ateliers de Sophie,"Reinmann, Sophie",Neuchâtel,Neuchâtel,NE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000128,Fadenquintett,-0,Oberhasli,Oberhasli,ZH,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000129,FigurenTheater SternenKind,"Thierer, Katharina",Obfelden,?,ZH,,assitej Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000130,Marionettenbühne Oetwil (Marionettengruppe Oetwil),-0,Oetwil a. d. Limmat,Oetwil a. d. Limmat,ZH,,-0,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000131,Looslis Puppentheater,"Loosli ,Tobias",Ottikon,"Loosli, Tobias",ZH,,KTV Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000132,Rapperswiler Marionetten,-0,Rapperswil SG,Rapperswil SG,SG,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000133,Figurentheater Vagabu,"Schuppli, Christian",Riehen,Riehen,BS,,assitej      KTV Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000134,Tösstaler Marionetten,"Bühlmann, Werner",Rikon im Tösstal,"Bühlmann, Werner, auch unter: Rikon: Puppentheater Werner Bühlmann",ZH,,Unima    KTV,,a,,"Figurentheater Werner Bühlmann, Puppentheater Werner Bühlmann",,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000135,Ul Suu in Cadrega,-0,San Pietro,San Pietro,TI,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000136,Kasperlitheater,-0,Sargans,Sargans,SG,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000137,"Koffertheater ""teatro stucchini""","Stucky, Astrid",Sargans,Sargans,SG,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000138,Compagnie Amarante (Théâtre de marionnettes Amarante),"Andreae, Pascaline",Savigny,Savigny,VD,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000139,Schaffhauser Marionetten,"Ammann, Hermann + Ammann-Chénier, Monique",Schaffhausen,?,SH,,,,na,1986-2006,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000140,Figurentheater Finderill,"Hatt-Urscheler, Madlen",Schlieren,Schlieren,ZH,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000141,Eidos-Theater (Theater der bewegten Dinge) (Figurentheater) ,"Büchli, Elisabeth",Schöftland,"Büchli, Elisabeth",AG,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000142,Figurentheater teaterra,,Seon,Seon,AG,,,,na,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000143,Cie les Héros Fourbus (Marionettentheater),"Chevrolet, Danièle + Ruiz, José-Manuel",Sion,Sion,VS,,KTV,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000144,Spiezer Puppenspieler,"Schneiter, Annerös + Reinhard, Christine + Allmen, Susanne von",Spiez,Spiez,BE,,,,na,,,,,1 R,(1992)-
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000145,Figuren Theater St. Gallen (Figurentheater St. Gallen),"Ryser, Tobias",St. Gallen,?,SG,,,,a,,"St. Galler Puppentheater, St. Galler Marionettentheater",,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000146,St. Galler Marionettentheater (später: St. Galler Puppentheater),"Scherrer, Hermann",St. Gallen,?,SG,,,,na,,,1903-1943,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000147,"St. Galler Puppentheater (früher: St. Galler Marionettentheater, später: Figuren Theater St. Gallen)","Hiller, Hans",St. Gallen,?,SG,,,,na,,,1956-?,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000148,"Figurentheater ""Am runde Egge""","Pfister, Maria + Zbinden, Barbara",Thun,Thun,BE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000149,Thuner Puppenspieler,-0,Thun,Thun,BE,,,,na,,,,,2 R,(1985)-
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000150,Theater Fleisch + Pappe,"Bosshard, Kathrin",Trogen,"Dicken, auch: Bosshard, Kathrin",AR,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000151,Figurentheater Clalüna,"Häfliger-Zeller, Claire",Turgi,?,AG,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000152,Puppentheater Roosaroos (Theater Roos und Humbel),"Roos, Silvia und Stefan",Turgi (früher: Wohlen) ,Roos Silvia,AG,,assitej Unima      KTV,,a,,Theater Roos und Humbel,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000153,Figurentheater Federflug,"Wanderley, Alberto",Unterengstringen,Unterengstringen,ZH,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000154,Marionettenbühne Unterengstringen," Born, Fridel + Ramseyer, Irene",Unterengstringen,Unterengstringen,ZH,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000155,Kasperlibühne Binocolo,"Beck, Dieter",Wettingen,Wettingen,AG,,-0,,a,,Marionettentheater Binocolo,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000156,Theater Sven Mathiasen,"Mathiasen, Sven",Wettingen,"Mathiasen, Sven",AG,,Unima     KTV,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000157,Marionettenbühne Fredi Hostettler (später: Wetziker Marionetten),"Hostettler, Alfred + Dovlo, Christine + Dovlo, Sarah",Wetzikon,Wetzikon,ZH,,,,a,,,,,,
