owl:Class,dct:identifier,spa:accessionNumberPoster,schema:name,schema:author,eclap:director,schema:performer,spa:theaterSeason,eclap:firstPerformanceData,ex:Plakatart,ex:MasseincmHxB,ex:Technik,ex:Grafiker,ex:Drucker,ex:Verso,schema:comment
spa:Audio,STS-Plakat00006138,PL 037.242,Anna Bolena,"Donizetti, Gaetano",,,1990/91,08.12.1990,,55 x 37,,En Manoevres / Michel Bourget,,,
spa:Audio,STS-Plakat00006139,PL 037.244,Hänsel und Gretel,Brüder Grimm,,,,,,83 x 40.5,,,,"
x",
spa:Audio,STS-Plakat00006140,PL 037.245,Poems visuals,Companyia Jordi Bertran,,,,,,,,Miquel LLach 92,,,
spa:Audio,STS-Plakat00006141,PL 037.246,Exposition Marionettes et Peinture,"Fühler, Björn; Christiane Fühler",,,,10.02.1995,Ausstellungsplakat,60 x 40,,,,"
x",
spa:Audio,STS-Plakat00006142,PL 037.247,Hulul,"Chemin, Bernard",,,2006/07,03.03.2007,Stückplakat,60 x 40,,Alain Florey / Damien Chemin (illustration),Saint-Paul,"
x",
spa:Audio,STS-Plakat00006143,PL 037.248,France - Les Ardennes Charleville-Mézières (sa place ducale),,,,,,,44.5 x 61.5,,,,x,
spa:Audio,STS-Plakat00006144,PL 037.249,Un instant chez les Bolzes,"Wicki, Emerick",,,,04.11.2011,Stückplakat,61.5 x 44.5,Digitaldruck,,,"
x",
spa:Audio,STS-Plakat00006145,PL 037.250,Blue Marks Red Spots,,,"Silvia Ventura, Rahel Maria Neuenschwander","2013
",29.06.2013,Stückplakat,59.5 x 42,,Judith Stutz / Simon Habegger,,"
x",
spa:Audio,STS-Plakat00006146,PL 037.251,"Spielplan 05/2013
",,,,2013,,Stückplakat,59.5 x 42,,"Eva Capdevila, Frank Struck",,"
x",
spa:Audio,STS-Plakat00006147,PL 037.252,Strings,,"Choreografien von Edward Clug, William Forsythe und Christian Spuck",,2015,17.01.2015,Stückplakat,F4 Weltformat 128 x 89.5 cm,,,,"
x",
spa:Audio,STS-Plakat00006148,PL 037.253,Juliette,"Martin?, Bohuslav",Fabio Luisi,"Lin Shi, Pavel Daniluk, Rebeca Olvera, Judit Kutasi, Alex Lawrence, Alex Botnarciuc, Rainhard Mayr, Irène Fridli, Martin Zysset, Dara Savinova, ",2015,14.02.2015,Stückplakat,F4 Weltformat 128 x 89.5 cm,,,,"
x",
spa:Audio,STS-Plakat00006149,PL 037.254,La Traviata,"Giuseppe, Verdi",Corrado Rovaris,,2015,06.02.2015,Stückplakat,F4 Weltformat 128 x 89.5 cm,,,,"
x",
spa:Audio,STS-Plakat00006150,PL 037.255,Museumsnacht,,,,,20.03.2015,Stückplakat,F4 Weltformat 128 x 89.5 cm,,,,"
x",
spa:Audio,STS-Plakat00006151,"PL 037.256
",Le malade imaginaire,Molière,Jean Liermier,"Madeleine Assas, Marie Ruchat, Christine Vouilloz, Dominique Catton, Pierre-Antoine Dubey, Philippe Gouin, Jacques Michel, Gilles Privat.
",,09.09.2014,Stückplakat,F4 Weltformat 128 x 89.5 cm,,,,"
x",
spa:Audio,STS-Plakat00006152,PL 037.257,Mon Faust,"Valéry, Paul ",Philippe Mentha,"Alexandra Tiedemann, Emmanuelle Ramu, Darius Kehtari, Claude Vuillemin et Philippe Mentha.",,28.10.2014,Stückplakat,F4 Weltformat 128 x 89.5 cm,,,,"
x",
spa:Audio,STS-Plakat00006153,PL 037.258,Pagliaccia,,,Monipue Schnyder,,,Stückplakat,F4 Weltformat 128 x 89.5 cm,,,,"
x",
spa:Audio,STS-Plakat00006154,PL 037.259,Ab heute verliebt,,Wolfgang Kolneder,,2006,,Stückplakat,83 x 59,,Robert Recker,,"
x",
spa:Audio,STS-Plakat00006155,PL 037.260,Und Du so?,,,Roger Willemsen,2006,,Stückplakat,83 x 59,,,,"
x",
spa:Audio,STS-Plakat00006156,PL 037.261,Mein Theater mit dem Fernsehen,,,Alfred Biolek,2008,,Stückplakat,83 x 59,,,,"
x",
spa:Audio,STS-Plakat00006157,PL 037.262,Regen,,,Tim fischer,,,Stückplakat,83 x 59,,,,"
x",
spa:Audio,STS-Plakat00006158,PL 037.263,"Wildlife, der Mensch und andere Tiere",,,Mark Britton,,,Stückplakat,83 x 59,,,,"
x",
spa:Audio,STS-Plakat00006159,PL 037.264,,,,Kay Ray,,,Stückplakat,83 x 59,,,,"
x",
spa:Audio,STS-Plakat00006160,PL 037.265,Ich Dich auch,,,Güzin Kar,,,Stückplakat,90 x 31,,,,"
x",
spa:Audio,STS-Plakat00006161,PL 037.266,Das beste bis jetzt...,,,Groebner,,,,59 x 42,,Johannes Zinner,,"
x",
spa:Audio,STS-Plakat00006162,PL 037.267,Intim,,,Fabian Lau,,,,59 x 42,,,,"
x",
spa:Audio,STS-Plakat00006163,PL 037.268,Jeder Schuss ein Gag,,,Cello Mafia,,,,59 x 42,,,,"
x",
spa:Audio,STS-Plakat00006164,PL 037.269,Medli,,Dominique Müller,"Frank Wenzel, Marc Schassmann, Stefan Camenzind, Erich Slamanig",2005,,,59 x 42,,,,"
x",
spa:Audio,STS-Plakat00006165,PL 037.270,Thom Pain,"Eno, Will",Nikolaus Kinsky,Siegmund Tischendorf,2006,,,59 x 42,,,,,
spa:Audio,STS-Plakat00006166,PL 037.271,"Mutanfall, ein Angsthase schiesst zurück",,Gabi Rothmüller,Helmut Schleich,,,Stückplakat,59 x 42,,,,,
spa:Audio,STS-Plakat00006167,PL 037.273,Freude ist nur ein Mangel an Information,,,Nico Semsrott,,,Stückplakat,42 x 30,,,,,
spa:Audio,STS-Plakat00006168,PL 037.274,Ich Ich Ich,,,Männer Kulturen,,,Stückplakat,42 x 30,,,,,
spa:Audio,STS-Plakat00006169,PL 037.275,,,,Marius und die Jagdkapelle,,,Stückplakat,42 x 30,,,,,
spa:Audio,STS-Plakat00006170,PL 037.276,Pippi im Taka Tuk Land,"Lindgren, Astrid",Brigitt Maag,,2007,,,42 x 30,,,,,
spa:Audio,STS-Plakat00006171,PL 037.277,Vorhang auf,,,,,,,37 x 28,,,,,
spa:Audio,STS-Plakat00006172,PL 037.279,,,,,,,,40 x 22,,,,,
spa:Audio,STS-Plakat00006173,PL 037.280,Das Matrix,,,Helmi Frost,,,,60 x 39,,,,,
spa:Audio,STS-Plakat00006174,PL 037.281,Für Luxus Liebe Leidenschaft,,,,,,,,,,,,
spa:Audio,STS-Plakat00006175,PL 037.282,In den Steinwüsten,,,,,,Stückplakat,64 x 30,,,,,
spa:Audio,STS-Plakat00006176,PL 037.284,Hamlet,,,,,,Stückplakat,109 x 54,,,,,
spa:Audio,STS-Plakat00006177,PL 037.285,,,,,2002,,Stückplakat,99 x 70,,,,,
spa:Audio,STS-Plakat00006178,PL 037.286,Die Liede ist Spbrache,"Uetz, Christian",,,,,Stückplakat,99 x 70,,,,,
spa:Audio,STS-Plakat00006179,PL 037.287,Der Drache,,,,,,Stückplakat,59 x 42,,,,,
spa:Audio,STS-Plakat00006180,PL 037.288,Zehn kleine Negerlein,,,,1994,,Stückplakat,69 x 48,,,,,
spa:Audio,STS-Plakat00006181,PL 037.289,Zimmer frei,Köbeli Markus,,,,,Stückplakat,48 x 35,,,,,
spa:Audio,STS-Plakat00006182,PL 037.290,Ein Sommernachtstraum,"Shakespeare, William",,,1961,,Stückplakat,49 x 26,,,,,
spa:Audio,STS-Plakat00006183,PL 037.291,Der Zwist der Verliebten,"Molier, Jean-Paptist Poquelin dit",,,1962,,Stückplakat,43 x 26,,,,,
spa:Audio,STS-Plakat00006184,PL 037.292,Willst du nicht das Lämmlein hüten,,,,1961,,Stückplakat,50 x 26,,,,,
spa:Audio,STS-Plakat00006185,PL 037.293,"Der Zwist der Verliebten, die Laune der Verliebten","Molier, Goethe",,,1960,,Stückplakat,44 x 25,,,,,
spa:Audio,STS-Plakat00006186,PL 037.294,Les enfants de la truie,,Gisèlle Sallin,,,09.07.1991,,42 x 31,,,,x,
spa:Audio,STS-Plakat00006187,PL 037.295,Aschenputtel,00 (nach Gebrüder Grimm),"Ltg: Sibyll Metzenthin, Corinne Roos; Text: Ursina Höhn; M: Thomas Schuler; Konzept u. R: Ursina Höhn, Sibyll Metzenthin; CH: Isabell Zwick, Svenja Tenti, Noémie Roos, Tina Gut; Assistenz: Simona Hofmann, Tano Ruoss; BB: Ursula Frick-Koch; K: Sibylle Schweizer, Eliska Papiernik",,2014/15,13.12.2014,Stückplakat,,Offset-Druck,,,1,
spa:Audio,STS-Plakat00006188,PL 038,Saisonplakat,,,,2007/08,,Saisonplakat,42 x 29,,AtelierXL,,"
x",
spa:Audio,STS-Plakat00006189,PL 038.001,Die arme Mutter und der Tod (Wiegenlied)  Text von Hans Reinhart / Ibrahim ben Edhem / Eine islamitische Heiligenlegende von Heddy Petyrek-Gabriel,"Petyrek, Felix; Reinhart, Hans; Scholz, Robert; Petyrek-Gabriel, Heddy",R: Heddy Petyrek-Gabriel; ML: Ernst Wolters,,,,Stückplakat +Veranstaltungsplakat,95.0 x 63.0 cm,Buchdruck,,"Zaunrith’sche Buchdruckerei, Salzburg",,
spa:Audio,STS-Plakat00006190,PL 038.002,Vortragsabende,0,,,1952/53,18.11.1952,Veranstaltungsplakat,30.3 x 83.0 cm,Buchdruck,,"F Karner, Wien IV.",,
spa:Audio,STS-Plakat00006191,PL 038.003,Wochenspielplan der Wiener Bühnen 20.-28. September 1952,0,,,1952/53,,Spielplanplakat,85.8 x 121.2 cm,Buchdruck,,"Elbemühl, Wien IX",,
spa:Audio,STS-Plakat00006192,PL 038.004,Urlesung Pilatus (Ein Stück um eine Weltwende),"Csokor, Franz Theodor",Ltg: Karl Eidlitz,,1952/53,24.11.1952,Stückplakat,58.8 x 84.5 cm,Buchdruck,,"E. Keinz vorm, J.B. Wellishausser, Wien VIII",,Österreichische Kulturvereinigung
spa:Audio,STS-Plakat00006193,PL 038.005,"Bravo, Girl !","Geifrig, Werner",,,,,Stückplakat,69.7 x 48.0 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00006194,PL 038.006,Faust I + II [Faust 1 u 2],"Goethe, Johann Wolfgang von",,,1981,,Stückplakat,68.5 x 48.5 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00006195,PL 038.007,Duett für eine Stimme (Duet for one). Ein Spiel in mehreren Sitzungen,"Kempinski, Tom",R: Robert Dietl; BB: Walter Schwab,,1981/82,07.06.1982,Stückplakat,61.0 x 43.0 cm,Siebdruck,,,,Deutschprachige Erstaufführung
