owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000691,Theater Escholzmatt,Escholzmatt,Escholzmatt,LU,,RZV,a,,Heimatschutztheater Escholzmatt,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000692,Théâtre du Gibloux,Estavayer-le-gibloux,Estavayer-le-gibloux (nicht ZSV),FR,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000693,L’Aire Libre,Estavayer-le-lac,Estavayer-le-lac (nicht ZSV),FR,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000694,Theatergesellschaft Euthal,Euthal,Euthal,SZ,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000695,Théâtre du Dé (Compagnie),Evionnaz,Evionnaz (nicht ZSV),VS,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000696,Spielbühne 99 Weiningen-Fahrweid (Theaterverein Weiningen – Fahrweid),Fahrweid,Dietikon,ZH,,RVA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000697,Theatergruppe Fällanden,Fällanden,Fällanden,ZH,,RVA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000698,Theatergruppe Fanas,Fanas,Fanas,GR,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000699,Le Défaougloir,Faoug,Faoug (nicht ZSV),FR,,AFTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000700,Dorftheater Feldbrunnen,Feldbrunnen,Feldbrunnen,SO,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000701,"Gemischter Chor Feldis, Chor maschado (später: Theatergruppe Feldis)",Feldis/Veulden,Feldis/Veulden,GR,,,,,,,,,
