owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000142,Ensemble Parole,"Kindler, Eylon u.a.",Basel,Basel,BS,,,,na,1999-?,,,,1 C,(2000)-(2004)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000143,"Ensemble zone expérimentale (Hochschule für Musik, Basel)",-0,Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000144,Ernesto und Rosetta (Clowns),"Gautier, Esther + Vuille, Eric",Basel,"Basel, auch unter: Personalia",BS,,KTV,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000145,Estufa Caliente (Tangoformation),"Wey, Serena u.a.",Basel,Basel,BS,,,,na,1996-?,,,,1 C,1996-(2003)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000146,Eugen Urfers Märlitheater (Urfer’s Märli-Theater),"Urfer, Eugen u.a.",Basel,"Urfer, Eugen",BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000147,Erzähltheater Salaam,"Hitz, Heiner",Basel,Basel,BS,,assitej      KTV,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000148,ex/ex (exex) (Exex-Produktionen),"Weber, Heini + Mentha, Remy",Basel,Basel,BS,,,,a, 2002- (noch existent?),,,,1 C,2002-(2011)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000149,Experimentierbühne Basel,?,Basel,Basel,BS,,,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000150,Falling Rocks Produktionen,"Blubacher, Thomas u.a.",Basel,Basel,BS,,,,na,1993,,,,1 C,1993
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000151,Fatal Dö,"Lopardo, Rosetta + Portmann, Ursula",Basel,Basel,BS,,,,a, 1991- (noch existent?),,,,1 C,1991-(2006)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000152,Fieberklee (Tanztheater) ,"Merguin, Roger + Spiess, Matthias",Basel,Basel,BS,,,,a, 1996- (noch existent?),,,,1 C,1996-(2000)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000153,Firma für Zwischenbereiche,"Segebusch, Ute u.a.",Basel,Basel,BS,,,,a,,,,,1 R,2015
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000154,"Five Drunken Monkeys (5 drunken monkeys, 5dm)","Graber, Michael E. + Kern, Beatrice + Riethausen, Béla",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000155,Flamenco Chispa,"Huggel, Erika",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000156,formation poe:son,"Bürgin, Sarah Maria + Burde, Jens +Nocon, Patricia + Inderbitzin, Markus + Winter, Nicholas",Basel,Basel,BS,,,,a,2005-,,,,1 C,2005-(2010)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000157,FrauFrau ,"Friedrich, Felicitas + Uehlinger, Dominique",Basel,Basel,BS,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000158,Freies Schauspiel Basel (FSB),"Klausener, Matthias + Lendi, Dominique + Koepp, Bettina + Lehmann, Andrea",Basel,Basel,BS,,,,na,1995-?,,,,1 C,1995-(2002)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000159,Gastspieltheater Egon Karter (Toruneetheater Basel),"Karter, Egon u.a.",Basel,Basel,BS,,,,na,1968-1982,,,,1 C,1968-1982
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000160,Gendertainment,"Ryser, Tom + Watson, Eva + Skelt!",Basel,Basel,BS,,,,na,,,,,1 C,1997-2000
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000161,Göttertraum,?,Basel,Basel,BS,,,,na,,,,,1 C,1988
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000162,Heute Bräute,les Reines Prochaines u.a.,Basel,Basel,BS,,,,na,1993,,,,1 C,1993
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000163,How to Make Friends,"Barcal, Petra + Köhler, Valentin + Hofmann, Johannes + Eichel, Hanna + Glodde, Dirk",Basel,Basel,BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000164,In flagranti / Inflagranti (Maskentheater),"Christen Baier, Heidi + Baier, Stefan",Basel,Basel,BS,,,,na,1985-?,,,,1 C,1985-(2000)
