owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,ex:statusaaktivnanichtaktiv,schema:Organization,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000043,SSA (Société Suisse des Auteurs),Lausanne,,VD,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000044,SuisseTHEATRE ITI / SwissTheatre ITI,Lausanne,,VD,,,,,Centre Suisse ITI,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000045,VSZ / ASC (Verband Schweizer Zirkusunternehmen / Association Suisse des Cirques),Lipperswil,,TG,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000046,Rete TASI (Teatri Associati della Svizzera Italiana),Lugano,,TI,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000047,"Forum Freies Theater Luzern <Dachverband freie Theater- u. Tanzschaffende Luzern, Zentralschweiz>",Luzern,,LU,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000048,RZV (Regionalverband Zentralschweizer Volkstheater),"Luzern (Schwarzenberg) <Regionalverband Kt. LU, NW, OW, SZ, UR)",,LU,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000049,eat-ch Ecrivains Associées du Théâtre en Suisse,Neuchâtel?,,NE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000050,ADT Association pour la danse et le théâtre,Onex,Genève,GE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000051,AJAR Association des Jeunes Auteurs Romands,Plans-les-Ouates,Plans-les-Ouates,GE,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000052,AFPDanza (Associazione Formazione Professione Danza),Taverne,,TI ,,,TASI,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000053,MusiktheaterVereinigung,Wil SG,,SG,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000054,AdS (Autorinnen und Autoren der Schweiz / Autrices et Auteurs de Suisse / Autrici et Autori della Svizzera / Auturas et Auturs da la Svizra),Zürich,,ZH,,,,,"SSV Schweizerischer Schriftstellerinnen- und Schriftsteller-Verband, SSE Société Suisse des écrivaines et des écrivains, SSS Società svizzera delle scrittrici e degli scrittori",,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000055,Danse Suisse / Tanz Schweiz (Berufsverband der Schweizer Tanzschaffenden / Association suisse des professionnels de la danse / Associazione svizzera dei professionisti della danza),Zürich,,ZH,,,,,SDT (Schweizerischer Dachverband der Fachkräfte des künstlerischen Tanzes) und VSBT (Vereinigung Schweizerischer Berufsverbände des Tanzes),,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000056,Frauen im Theater (FiT),Zürich?,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000057,"reso (Tanznetzwerk Schweiz, Réseau Danse Suise, Rete Danza Svizzera, Dance Network Switzerland)",Zürich,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000058,RVA (Regionalverband Amateurtheater Zürich-Glarus),Zürich,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000059,SADS Schweizerische Arbeitsgemeinschaft für das darstellene Spiel,Zürich?,,ZH?,,na,,1973-2004,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000060,SBKV (Schweizerischer Bühnenkünstlerverband),Zürich,,ZH,,,,1920-,Verband der Bühnenkünstler in der Schweiz,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000061,SIG Schweizerische Interpretengenossenschaft (inkl. SIS Schweizerische Interpretenstiftung),Zürich,,ZH,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000062,VSBT Vereinigung Schweizerischer Berufsverbände des Tanzes) (später Danse Suisse),Zürich,,ZH,,,,,1991-2004,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000063,Zürcher Ballettforum <?>,Zürich,Zürich,ZH,,na,,,,,,,
