owl:Class,dct:identifier,schema:name,ex:Art,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:Rep,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000111,TheaterFalle (Medien- und Theaterfalle),P,???,Basel,Basel <ZSV>,BS,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000112,"Theater ""Lo Studiolo""",E (Satu Blanc),,Basel,"Blanc, Satu",BS,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000113,Théâtre de la Fabrik,G,RKT,Hégenheim (F),Basel,,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000114,Tinguely Museum,G,x,Basel,Basel,BS,,x,a,,,,,,1 C,2004,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000115,unternehmen mitte,G,???,Basel,Basel,BS,,x,a,,1999-,,,,1 C,1999-(2009),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000116,Volkshaus Basel,G,Grosse Konzert Säle,Basel,Basel,BS,,x,a,,?,,,,1 C,1971-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000117,Volta-Halle,?,x,Basel,Basel,BS,,x,na,,?,,,,1 C,2002-(2003),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000118,Vorstadttheater Basel,E G KITH,"KTE, STK",Basel,Basel,BS,,assitej     Premio,a,,1974-,"Theater Spilkischte, D'Spilkischte",,,2 S,1974-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000119,"Warteck (Sudhaus, Werkraum)",?,x,Basel,Basel,BS,,x,na,,1994-?,,,,1 C,1994-(2012),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000120,Zehntenkeller <heute Spielstätte Basler Marionetten Theater),?,x,Basel,Basel,BS,,x,na,,?,,,,1 C,1958-1973,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000121,"Zum Isaac (Cafétheater, Kellertheater)",?,x,Basel,Basel,BS,,x,na,,?,,,,1 C,"1982, 1985, 1991-(2000)",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000122,Kulturraum Ermitage,G,RKT,Beckenried,Beckenried,NW,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000123,Gasthaus zum Kreuz,G,RKT,Beinwil,Beinwil,AG,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000124,Teatro Sociale,P G,"GGH, KTE, TFS",Bellinzona,Bellinzona,TI,,Premio,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000125,Casa d'Italia,?,x,Bellinzona,Bellinzona,TI,,x,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000126,Altes Tierspital,einmalig,x,Bern,Bern,BE,,x,na,,1996,,,,1 C,1996,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000127,Amphitheater Engehalbinsel,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1956, 1996",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000128,Anlikerkeller,?,x,Bern,Bern,BE,,x,na,,1949-1950,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000129,Arte Theater (Theater Arte),-0,x,Bern,Bern,BE,,x,na,,1991-1992,,,,1 C,1991-1992,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000130,Atelier-Theater (später: Theater an der Effingerstrasse),P,x,Bern,Bern,BE,,x,na,r,1951-1996,,,,13 S,1951-1996,
