owl:Class,dct:identifier,spa:accessionNumber,ex:SignaturAlt_CabaretArchiv,schema:name,schema:genre,schema:author,eclap:director,schema:performer,schema:productionCompany,ex:Jahr,ex:Referenz,schema:duration,schema:comment,ex:Anzahl,ex:Lieferant,ex:Schlagwort,ex:Art
spa:Audio,STS-Audio00001084,CDD 056/06,,"Kinski  singt und spricht Brecht. (Klaus Kinski spricht Werke der Weltliteratur, CD 06)",R,"Kinski, Klaus (Bertolt Brecht; Kurt Weill; Hanns Eissler)","R: Klaus Kinski; Ingo Wetzker (1, 3-5, 7)","Klaus Kinski; Ingo Wetzker (Gitarre auf 1, 3-5, 7)",Universal Music GmbH LC 00173; Aufnahme 1959 in Wien,,EAN: 0602498003831; ISBN: 3-8291-1366-8,00:59:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001085,CDD 056/07,,"Kinski spricht Hauptmann (""Der Ketzer von Soana"") und Nietzsche. (Klaus Kinski spricht Werke der Weltliteratur, CD 07)",R,"Kinski, Klaus (Gerhart Hauptmann, Friedrich Nietzsche)",R: Klaus Kinski,Klaus Kinski,"Universal Music GmbH LC 00173; Aufnahme 1959 in Wien, 1960 in Hamburg",2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:04:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001086,CDD 056/08,,"Kinski spricht Büchner (""Lenz"") und Majakowskij (Deutsche Übertragung: Hugo Huppert). (Klaus Kinski spricht Werke der Weltliteratur, CD 08)",R,"Kinski, Klaus (Georg Büchner, Wladimir Majakowskij)",R: Klaus Kinski,Klaus Kinski,"Universal Music GmbH LC 00173; Aufnahme 1962, 1960 in Wien ",,EAN: 0602498003831; ISBN: 3-8291-1366-8,00:52:00,,1,,,
spa:Audio,STS-Audio00001087,CDD 056/09,,"Kinski spricht Dostojewskij (""Der Traum eines lächerlichen Menschen"", Deutsche Übertragung von Fred Ottow und ""Der Traum des Raskolnikow"" aus ""Schuld und Sühne"", Deutsche Übertragung von E. K. Rahsin). (Klaus Kinski spricht Werke der Weltliteratur, CD 09)",R,"Kinski, Klaus (Fjodor M. Dostojewskij)",R: Klaus Kinski,Klaus Kinski,"Universal Music GmbH LC 00173; Aufnahme 1962 in Wien, 1960 in Hamburg",2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,00:55:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001088,CDD 056/10,,"Kinski spricht Oscar Wilde 1 (""Der glückliche Prinz"", ""Der junge König""). (Klaus Kinski spricht Werke der Weltliteratur, CD 10)",R,"Kinski, Klaus (Oscar Wilde)",R: Klaus Kinski,Klaus Kinski,Universal Music GmbH LC 00173; Aufnahme: 1961 Amadeo Österreichische Schallplatten in Wien,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,00:58:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001089,CDD 056/11,,"Kinski spricht Oscar Wilde 2 (""Der selbstsüchtige Riese"", ""Die Nachtigall und die Rose"", ""Ballade vom Zuchthaus zu Reading""). (Klaus Kinski spricht Werke der Weltliteratur, CD 11)",R,"Kinski, Klaus (Oscar Wilde)",R: Klaus Kinski,Klaus Kinski,Universal Music GmbH LC 00173: Aufnahme: 1956 Amadeo Österreichische Schallplatten in Wien,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:03:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001090,CDD 056/12,,"Klaus Kinski spricht Jack London (""Eine wahre Geschichte"", ""Was sie nie vergessen"") und Stephane Mallarmé (""Nachmittag eines Fauns"", Deutsche Nachdichtung von Paul Zech). (Klaus Kinski spricht Werke der Weltliteratur, CD 12)",R,"Kinski, Klaus (Jack London, Stéphane Mallarmé)",R: Klaus Kinski,Klaus Kinski,Universal Music GmbH LC 00173; Aufnahm 1962 in Wien,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:00:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001091,CDD 056/13,,"Kinski spricht aus der Amerikaballade (von Helmuth Paulus) und der Dichtung afrikanischer Völker (Deutsche Nachdichtung von Janheinz Jahn). (Klaus Kinski spricht Werke der Weltliteratur, CD 13)",R,"Kinski, Klaus (Helmuth Paulus)",R: Klaus Kinski,Klaus Kinski,Universal Music GmbH LC 00173; Aufnahme: 1961 in Wien,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:03:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001092,CDD 056/13a,,"Sechs Gramm Caratillo (Hörspiel von Horst Bienek)/ Die Nacht allein (Hörspiel von Wolfgang Graetz). (Klaus Kinski spricht Werke der Weltliteratur, Bonus-CD [13a])",H,"Bienek, Horst / Graetz, Wolfgang",R: Mathias Neumann,"Klaus Kinski, Johanna Wichmann, Günther Schramm, Gaby Reichhardt, Sophie Engelke, Giselle Vesco, Hannelore Hinkel, Ingrid Resch, Christel Erber, Joseph Eschenbrücher, Erika Riemann","Universal Music GmbH LC 00173; Aufnahme: 1960, 1961 Hessischer Rundfunk",2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:13:13,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001093,CDD 056/14,,"Hamlet. Ins Deutsche übertragen von August Wilhelm von Schlegel. (Klaus Kinski spricht Werke der Weltliteratur, CD 14)","S, H","Shakespeare, William","ProdLtg u R: Hans Drechsel, T: Peter Schröder; Musik: Ingo Wetzker, techn. Gesamtltg: Franz Plott","Walter Suessenguth, Klaus Kinski, Hans Hessling, Herbert Strass, Lothar Blumenhagen, Herbert Grünbaum, Maria Schanda, Irina David, Eduard Wandrey,",Universal Music GmbH LC 00173; Aufnahme: 1964 Amadeo Österreichische Schallplatten in Wien,,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:32:00,2 CD: '00:53:00 + '00:39:00,2,NL N. Klassen,,
spa:Audio,STS-Audio00001094,CDD 056/15,,"Romeo und Julia. Ins Deutsche übertragen von August Wilhelm von Schlegel. (Klaus Kinski spricht Werke der Weltliteratur, CD 15)
","S, H","Shakespeare, William","ProdLtg u R: Hans Drechsel, T: Peter Schröder; Musik: Ingo Wetzker, techn. Gesamtltg: Franz Plott","Tobias Pagel, Joachim Boldt, Eduard Wandrey, Walter Suessenguth, Klaus Kinski, Lothar Blumenhagen, Herbert Strass, Rolf Defrank, Robert Müller, Erhart Stettner, Hugo Schrader, Maria Schanda, Irina David, Hilde Hildebrand",Universal Music GmbH LC 00173; Aufnahme: 1964 Amadeo Österreichische Schallplatten in Wien,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:23:00,2 CD: '00:40:00 + '00:43:00,2,NL N. Klassen,,
spa:Audio,STS-Audio00001095,CDD 056/16,,"Wiedersehen mit Brideshead (Brideshead Revisited). Aus dem Englischen von Marianne de Barde und Hans Rosenhauser. (Klaus Kinski spricht Werke der Weltliteratur, CD 16)",R,"Waugh, Evelyn",R: Hans Rosenhauer,"Klaus Kinski, Gert Benofsky, Kaspar Brüninghaus, Charlotte Joeres, Rudolf Klavius, Marianna Kehlau, Gert Martienzen, Hans Rosenhauer, A. Michael Rueffer, Robert Seibert, Ruth Siegmeier, Siegfried Wischnewsky, Elisabeth Witte",Universal Music GmbH LC 00173; Aufnahme 1956 Hessischer Rundfunk,,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:29:00,2 CD: '0048:00 + '00:41:00,2,NL N. Klassen,,
spa:Audio,STS-Audio00001096,CDD 024,,Die Königsdramen (1. König Richard II 2. König Heinrich IV 3. König Heinrich V 4. König Heinrich VI 5. König Richard III 6. König Heinrich VIII 7. König Johann),Po,"Shakespeare, William",,Nacherzählt und gelesen von: Urs Widmer,Kein & Aber Records,2002,ISBN 3-0369-1120-0,3:33:00,,4,Haupt,Hörbuch,
spa:Audio,STS-Audio00001097,CDD 025,,Komödien und Romanzen. Teil 1 (1. Der Sturm 2. Die beiden Veroneser 3. Mass für Mass 4. Die Komödie der Irrungen 5. Viel Lärm um Nichts 6. Die lustigen Weiber von Windsor 7. Ein Sommernachtstraum 8. Wie es euch gefällt),Po,"Shakespeare, William",,Nacherzählt von Walter E. Richartz und Urs Widmer ; Gelesen von Bernd Rauschenbach,Kein & Aber Records,2002,ISBN 3-0369-1122-7,2:30:00,,3,Haupt,Hörbuch,
spa:Audio,STS-Audio00001098,CDD 026,,"Komödien und Romanzen. Teil 2 (1. Der Kaufmann von Venedig 2. Der Widerspenstigen Zähmung 3. Das Wintermärchen 4. Ende gut, alles gut 5. Was ihr wollt 6. Liebesleid und Lust)",Po,"Shakespeare, William",,Nacherzählt von Walter E. Richartz und Urs Widmer ; Gelesen von Otto Sander,Kein & Aber Records,2002,ISBN 3-0369-1123-5,2:23:00,,2,Haupt,Hörbuch,
spa:Audio,STS-Audio00001099,CDD 027,,"Tragödien. Teil 1 (1. Romeo und Julia 2. Othello, der Mohr von Venedig 3. Macbeth 4. Hamlet, Prinz von Dänemark 5. Timon von Athen 6. König Lear 7. Cymbeline)",Po,"Shakespeare, William",,Nacherzählt von Walter E. Richartz ; Gelesen von Elke Heidenreich,Kein & Aber Records,2002,ISBN 3-0369-1124-3,2:47:00,,3,Haupt,Hörbuch,
spa:Audio,STS-Audio00001100,DAT 001,,Colorin Colorado. D'après I. Contes naïfs pour petits malins. II. Chansons pour toute l'année. Traduit  de l'espagnol par Jacques Comincioli.,S,"Aymerich, Angela Figuera",R: Charles Joris; Dra: Jacques Comincioli; Scénographie: Riccardo Pagni; M: Simon Pomara; Li: Marc Tuleu.,Jacqueline Payelle.,Théâtre Populaire Romand,1991,,,Enregistrement d'une représentation,1,NL TPR,,
spa:Audio,STS-Audio00001101,DAT 002,,Marie Tudor. Drame romantique en trois journées.,S,"Hugo, Victor",R: Charles Joris; Scénographie: Gilles Lambert; M: Louis Crelier; Li: Géza Vadas.,"Corinne Frimas, Anne Cunéo, Gilles Guérin, Gabriele Bazzichi, Philippe Caulier, Jacques Maeder, Bernard Escalon, Edmond Vullioud, Marco Calamandrei. ",Théâtre Populaire Romand,1996,,3:00:00,"Enregistré à Meyrin, 28.2.96",1,NL TPR,,
spa:Audio,STS-Audio00001102,DAT 003,,La Brillante soubrette. Comédie en trois actes. Traduction de Manuela Salvi et Raphaël Aubert.,S,"Goldoni, Carlo",R: Gino Zampieri; Scénographie: Roberto Moscoso; Li: Géza Vadas. ,"Charles Joris, Corinne Frimas, Florence Budaï, Edmond Vullioud, Gilles Guérin, Jacqueline Payelle, Samir Siad, Jean-Philippe Meyer.",Théâtre Populaire Romand,1995,,,"Enregistré à Carouge, Janvier 1995",1,NL TPR,,
spa:Audio,STS-Audio00001103,LP 001,,O Paola oder: Liebe in der Moralgasse (Querschnitt) [Dialekt],"Mu, CH, Q","Cornell, Klaus; Stalder, Rudolf",Am Flügel: Walter Stucki,"Ensemble der Emmentaler Liebhaber-Bühne (ELB): Rudolf Stalder, Ruth Flückiger, Paul Born, Max Begert u.a.",,1967,Elite Special ST-LP 8,,Q: Stark abgenützt (cs/08-90),1,Antiquariat Peter Cimei,,kommerziell
spa:Audio,STS-Audio00001104,LP 002,,Viva Banana. Ein Musical in Siebeneinhalb Bildern. [Dialekt],"Mu, CH, Q","Gmür, Hans; Suter, Karl; Moeckel, Hans",R: Karl Suter; BB: Max Röthlisberger; ML: Hans Moeckel und Renato Anselmi; Ch: Walter Kaiser; Produktionsleitung: Edi Baur,"Paul Bühlmann, Jörg Schneider, Eduard Huber, Ines Torelli, Stephanie Glaser, Marion Jacob, Andi Jenny",Zürich: Theater am Hechtplatz; Eine Baur-Gmür-Suter-Produktion,1973,PICK 93-104,,ok: cs:08/90,1,Antiquariat Peter Cimei,Musical,kommerziell
spa:Audio,STS-Audio00001105,LP 003,,"Der Ozeanflug, Ein Radiolehrstück für Knaben und Mädchen (auch: Der Lindberghflug). [D]","Op, Ju, H","Brecht, Bert; Weill, Kurt",ML: Hermann Fuchs,Karl Markus; Uwe Freibott; Gottfried Schwartz; Hermann Wünsch; Universitätschor und Akad. Orchestervereinigung Göttingen,,0,Thorofon MTH 118,,ok: cs:08/90,1,Antiquariat Peter Cimei,,kommerziell
