owl:Class,dct:identifier,schema:name,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000001,,,,,,,,,,,,VP,,PA,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000002,,,,,,,,,,,,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- ,Volumen Couvert Anzahl  (x C)  Schachteln Anzahl (x S)  Bände       Anzahl (x B)      Rezensionen   Anzahl (x R) keine (00),Grenzdaten  historisch XXXX-XXXX   aktiv       XXXX- 
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000003,,,,,,,,,,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000004,"""Krönung"" (Kleinkunstfestival) <Produktion: Gong, Aadorf und Kulturbau Winterthur, Casino Theater Burgdorf, Agentur für ansprechenden Unfug>",FES VOK,"Aadorf, Burgdorf, Winterthur",Burgdorf: Casino Theater Burgdorf,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000005,Klang-November (Klangnovember),FES,Aarau,Aarau (Sammelvoucert),AG,,,,a,(noch existent?),,,,2 R,2004
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000006,Kunstexpander <interdisziplinäres Festival>,FES,Aarau,Aarau (Sammelvoucert),AG,,,,na,2005 / 2006 / 2008 / 2010,,,,1 R,2005
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000007,Jugend Theater Festival Schweiz,FES STK,Aarau,Aarau,AG,,,,a,,,,,,2015-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000008,"Schachen Aarau (Schachen-Festival) (inkl. Sommernachtsfestspiele, Mehrzweckhalle)",-0,Aarau,Aarau,AG,,,,na,,,,,,1954-1957 / 1983 / 1986
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000009,Schultheatertreffen (Oberstufenschule) Aarau,FES ATV,Aarau,Aarau (Sammelvoucert),AG,,,,na,?,,,,4 R,1994 / 2003 / 2009
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000010,Theatertage Aarau,FES ATV,Aarau,Aarau (ZSV),AG,,,,a,,Schweizer Volkstheatertage,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000011,Appenzeller Figurentheater-Festival,FES STP,Appenzell,Appenzell,AI,,Unima,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000012,Appenzeller Kabarett-Tage,-0,Appenzell,Kabarett: Appenzell,AI,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000013,Arosa Kultur (später: Arosa Musik Theater),-0,Arosa,Arosa,GR,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000014,Arosa Musik Theater,FES,Arosa,Arosa,GR,,,,a,,Arosa Kultur,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000015,Humorfestival Arosa,FES VOK,Arosa,Kabarett: Arosa,GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000016,Festival internazionale di narrazione dei Paesi della Montagna,FES,Arzo,Arzo,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000017,Laban-Event,FES STT,Ascona,Ascona,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000018,Settimane Musicali di Ascona,FES,Ascona,Ascona,TI,,,,a,1946-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000019,Baden Magisch (Internationales Festival der Magie),FES,Baden,Baden,AG,,,,a,,Magic Nights,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000020,Badenfahrt,FES,Baden,Baden,AG,,,,a,,,,,,1977 / 1980 / 1982 / 1987 / 1991 / 1997 / 2007
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000021,Figura Theaterfestival,FES STP,Baden,Baden,AG,,Unima,,a,,,,,2 C,1994-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000022,"Magic Nights (später: Baden Magisch, Internationales Festival der Magie)",-0,Baden,Baden,AG,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000023,"Nacht des Theaters (halle 36 , ABB-Areal)",FES,Baden,Baden,BS,,,,na,1992,,,,1 C,1992
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000024,Seniorentheaterfestival Baden,FES ATV,Baden,Baden,AG,,,,a,"1992, 1996",,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000025,Kultursommer Balzers,FES,Balzers,Balzers,FL,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000026,Art Fair: Liste: Performing Projects,-0,Basel,Basel: Art Basel,BS,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000027,Basler Schultheaterwoche,FES ATV,Basel,Basel: Stadttheater: Kleine Bühne,BS,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000028,Culturescapes (Festival),FES,Basel,Basel,BS,,,,a,2006-,,,,1 C,2006-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000029,Dalbeloch-Spektakel (Spektakel im Dalbeloch),FES,Basel,Basel,BS,,,,a,?,,,,1 C,1987-(1983)
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000030,Europäischer Musikmonat,FES,Basel und andere Orte,Basel,BS,,,,na,2001,,,,1 C,2001
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000031,FigurenTheaterFestival Basel (Figurentheater-Festival Basel),FES STP,Basel,Basel,BS,,Unima,,a,2003-,,,,1 C,2003-(2009)
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000032,"Humoratorium (Projekt, inkl. Kongresse)",-0,Basel,Basel,BS,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000033,It’s The Real Thing (Basler Dokumentartage),FES,Basel,Basel,BS,,,,a,,,,,1 C,2013-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000034,JETanZT (Festival Freie Tanzszene),FES STT,Basel,Basel,BS,,,,na,1991,,,,1 C,1991
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000035,Jugend Kultur Festival Basel (JKF),FES,Basel,Basel,BS,,,,a,,,,,1 C,1997 / 2000 / 2003 / 2005 / 2013
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000036,Kleinbasler Theaterfestival,-0,Basel,"Basel: Kleinbasler Theaterfestival (Grundsätzliches, mehrere Aufführungen ausländische Gastspiele), Stammort Schweizer Theater (wenn 1-2 Aufführungen)",BS,,,,na,"1985, 1986",,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000037,Martinu Festtage,FES,Basel,"Martinu, Bohuslav",BS,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000038,Musik der Welt (Festival),FES,Basel,Basel,BS,,,,na,1987-2001,,,,1 C,(1994)-2001
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000039,PerformaCity ,FES,Basel,Basel: Kaserne Basel,BS,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000040,Spiilplätz (Festival),FES STK,Basel,"Basel: Theater Basel, Div. <eigenl. Wechselnde Orte: Basel, Bern, Luzern>",BS,,Assitej,,a,,,,,1 C,2000 / 2002 / 2004 / 2006 / 2011
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000041,Tango-Festival Basel,FES STT,Basel,Basel,BS,,,,a,2008-,,,,1 C,2008-(2011)
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000042,Tanz in Stücken,FES STT,"Basel, Zürich u.v.a.",Basel (siehe auch Bern und Zürich),BS,,,,a,(noch existent?),,,,1 C,1994 (Basel) 1995-1997 (Bern)
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000043,Tanzszene Schweiz '85,-0,Basel,Basel: Stadttheater: Kleine Bühne,BS,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000044,Tanztage Basel,FES STT,Basel,Basel,BS,,,,a,(noch existent?),,,,2 C,2002-(2011)
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000045,Theaterfestival Basel (Theater Festival Basel) (früher: Welt in Basel),FES,Basel,Basel,BS,,,,a,,,,,2 S,1991-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000046,Theaterschiff (internationales Jugendtheaterprojekt),FES STK,Basel,Basel,BS,,,,na,1952,,,,1 C,1952
