owl:Class,dct:identifier,schema:name,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000166,Programme commun,FES,Lausanne,Lausanne,VD,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000167,Festival de Printemps,-0,Lausanne-Ouchy,Lausanne: Théâtre Tel Quel,VD,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000168,Les jardins musicaux (festival),FES,Le Cernier,Le Cernier,NE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000169,Der Theaterfunken (Kinder- und Jugendtheaterfestival),FES STT,Lenzburg,CH: Einz. Reg.: Kt. Aargau,AG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000170,Musikalische Begegnungen Lenzburg (MBL),FES,Lenzburg,Lenzburg,AG,,,,a,1984-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000171,Theatertage Lenzburg,FES,Lenzburg,Lenzburg,AG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000172,il gatto danza (später: osa! la danza),-0,Locarno,Locarno,TI,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000173,Il castello incantato –Festival internazionale di teatro con figure,FES STP,Locarno et al.,Locarno,TI,,Unima,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000174,La Donna Crea (festival internazionale),FES STK,Locarno,Locarno,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000175,osa! la danza,FES STT,Locarno,Locarno,TI,,KTV,,a,,il gatto danza,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000176,Maratona del Teatro amatoriale della Svizzera italiana,FES ATV,Locarno et al.,Locarno,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000177,Il Teatro in Festa,FES,Locarno,Locarno: Teatro Paravento,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000178,Confronti teatrali (früher: Giostra del Teatro),-0,Lugano,Lugano,TI,,,,na,,Giostra del teatro,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000179,Festival Internazionale del Teatro (FIT),FES,Lugano,Lugano,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000180,Festival Internazionale delle Marionette (Marionetten-Festival),FES STP,"Lugano, später Ascona, dann wieder Lugano",Ascona: Internationales Marionettenfestival,TI,,Unima,,a,,Internationales Festspiel für Marionetten,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000181,"Il Maggiolino (Festival Teatro, danza e musica per la prima infanzia)",FES STK,Lugano,Lugano: Teatro Pan,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000182,Orme Festival di arti integrate,FES,Lugano,Lugano,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000183,Giostra del teatro (später: Confronti teatrali),-0,Lugano,Lugano,TI,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000184,Laboratorio Internazionale del Teatro delle Radici,FES,Lugano,Lugano: Teatro delle Radici,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000185,Rassegna Home (Teatro Foce),FES,Lugano,Lugano: Teatro Foce,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000186,SOLOinscena (Solo in Scena),FES,Lugano,Lugano: Il Cortile,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000187,-0,FES,"Lugano, Chiasso et al.",CH:Einz. Reg.:Ital. Schweiz und 1.28,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000188,Heimspiele (Festival)<Trägerschaft: Luzern: Kleintheater Luzern und Luzern: Südpol>,FES,"Luzern, Kriens",Luzern: Kleintheater Luzern,LU,,,,a,,,,,,
